question,answer,id
where did many white sinks line up,room,129995
where are the tulips on the table,vase,416468
where did the van and some cars park,street,36639
where did meat and pasta dish with vegetable serve,bowl,18917
where does the clock give the time,station,140340
where do the white stove and cabinets sit,kitchen,9620
where is the white cabinetry shown,kitchen,109145
where does the home office desk support a laptop and a printer,drawer,127558
where are two people looking at their laptops,room,508504
where do yellow signs indicate a sharp turn ahead,road,346456
where did the man cook a turkey,foil,59476
where are the variety of doughnuts shown,box,238562
where did variety of baked goods display,window,45325
where does the large pizza sit,box,244465
where is the siamese cat laying,sink,84881
where is a beige couch and orange pillows,room,53037
where is the person doing a skateboard trick,mirror,223086
where is person laying,bed,53589
where is the person holding his hand out,street,535898
where is the woman sitting,chair,308936
where are beads hanging,doorway,552569
where is the train traveling down tracks,station,160433
where is the open shower curtain reflected,mirror,178785
where does the young boy under a red bedspread sleep,bed,195952
where are the girl and boy playing video games,room,506073
where is the woman laying,bed,218114
where is the stuffed animal situated,chair,166200
where is the little girl sitting,bed,491111
where is the man giving a puppy a bath,sink,330164
where is the big cat sitting,sink,460533
where are some flowers siting,vase,490908
where do the koala teddy bear holding a baby koala teddy bear,chair,239793
where is the family sitting,room,140867
where are many zebras together,zoo,28690
where does the cat squint at a dog,tub,263493
where is the man pushing a refrigerator under construction,house,39434
where do seven teddy bears sit,wagon,527073
where are the stop sign and some cones sitting,road,335999
where is the large dog laying,bed,290753
where is the creepy man taking a selfish of himself,mirror,218368
where does the cat sun itself,window,476530
where is the cat sitting,bag,277070
where is the bed with a kid laying on top of it,bedroom,535768
where does the person hold a stop sign,street,504850
where are four donuts left,box,107147
where is the cat laying,sink,111727
where is the large brown bear sitting up,zoo,340333
where is the black dog sitting,chair,383658
where are these children flying their kites,street,467265
where did the beautiful pink rise,vase,284993
where does black lab enjoy his reflection,mirror,457477
where are the two woman baking,kitchen,206628
where is the woman taking a photo of herself,mirror,105339
where is the ram looking alert while standing,pin,287907
where did the parked motorcycle load,garage,27616
where does some giraffes standing,pen,415269
where are clocks easy for all to see,tower,137777
where did the pizza slice on sitting on a counter,box,147369
where is the person in a helmet skateboarding and holding some purchases,bag,367969
where is the gray and white cat laying on it 's back with it 's head looking up,drawer,54182
where is the yorkshire terrier sitting,purse,365236
where is the double-decker bus parked,street,121555
where is the cheese sandwich cooking,pan,42519
where are two toilets sitting,room,444206
where are some kids playing and having fun,store,526098
where did the salad serve,bowl,418722
where is one train parked and another is outside the station,station,201278
where is the red train car sitting,station,431139
where are two men playing a video wii game,room,544850
where is the stuffed bear sitting,basket,545364
where is the dog wearing a red santa suit looks,mirror,168020
