question,answer,id
what walks toward the rope perimeter fence,elephant,310683
what is the pitcher throwing toward a batter,ball,331425
what stands open revealing the stocked fridge,door,381008
what is the pug dog wearing,tie,445774
what just standing around an old stable as their picture is taken,giraffes,148002
what stand near each other in a field,giraffes,348935
what one green with the back off,cellphone,445906
what is driving along the road near some buildings and a fence,car,281910
what stands in the field under a tree,pony,387056
what is the lady walking on sand covered surrounded by the ocean,beach,396143
what are swimming or floating in the water,ducks,36925
what is the box containing seven different flavor frosted,donuts,391088
what is connected to the bottom of of the monitor,laptop,506605
what are in the white textured vase,flowers,412172
what is in the pot near a stack of video tapes and cds,flower,463969
what lined up on the shore of the ocean,surfboards,240129
what did two pictures of a red stuff with a white belly,bear,260899
what are sticking out of bowl on a table,carrots,471905
what are eating from the feeding cage,zebras,203459
what rests in the basket with a ball,toy,195153
what is attached to the silver train car,car,516849
what are placing their heads on a third zebras back,zebras,267697
what is shown with toilet paper,sink,427859
what parked at their gates,airplanes,286336
what are flying across a blue sky,airplanes,333571
what covered in snow behind a red airplane wing,mountain,18601
what is carrying the load of passengers,shuttle,127042
what are serving pizza pies to a table,boards,539941
what is now frozen,hydrant,499786
what is docked at the shore,boat,413996
what is feeding from the larger zebra in a group,zebra,180179
what appears to be being remodeled on the walls and floor,room,7625
what parked in front of several boats at a dock,bicycle,570574
what are there standing around among some trees,giraffes,461121
what flies through the blue sky,jet,62941
what anchored on the sand and gravel beach area,boats,32220
"what does at sunset , upside down on the wet sand",surfboard,200307
the terrible looking what,bathroom,409744
what is leaning to the left,flower,29438
what are walking together in a grassy plains area,elephants,171142
what is floating on the water,duck,57201
what is the boy swinging on the grass,bat,14876
what is standing in the field with other cows,cow,461427
what is driving by the water,truck,546074
what does the woman hold shaped like a jellyfish above the crowd,umbrella,8285
what is empty of contents on the counters,kitchen,547644
what is fresh out of the oven,pizza,13675
? what with the mouse and keyboard,computer,367035
what digging a hole in the dirt,elephant,439932
what is sitting down in the dirt,giraffe,139336
what is driving on the track outside,train,424987
what hangs over the street corner in a french city,lamp,513361
what did the meat fill sitting on top of a white plate,sandwich,271484
what is someone holding a fake hand made with sprinkles,donut,135065
there is a man riding what passed a corvette,bicycle,494174
what walk down the path together next to a fence,cows,347445
what is relaxing on the bed sheets,dog,222037
what is the man riding on a wave,surfboard,118162
what topped with broccoli and beef next to a glass of alcohol,plate,183836
what are standing amongst the rocks on the mountain,goats,131093
the man pulling what piled high with bananas on a crowded street,cart,580191
what do crated with various winter and christmas decorations,car,363407
what are the group of young men playing,frisbee,337704
what is along the waters edge by a bridge,boat,384679
what do the picture of some water buy,mountains,495542
what mounted mirror underneath a light fixture,wall,234161
what is flying in the sky,airplane,171637
what is the person flying at the beach,kite,229969
the person riding what down the side of a snow covered mountain,snowboard,444086
what log sitting next to the wooden bench,tree,263400
what does dining feature both chairs and a bench,room,100271
the small plastic train set rings what,cake,554015
what is slowing down as it passes through a crossing with its lights on,locomotive,172173
what are flying through the blue gray sky,airplanes,308954
what is poking out of the paper bag,bear,181756
what is in the blue round plate,bread,165684
what is an older woman on a bus using,phone,8657
what sits below the large building,statue,446033
what are walking through the trees together,giraffes,507329
what is on the plate with french fries and lettuce and red onion,sandwich,327921
what start to move forward as the traffic light signal to go,cars,254179
what are standing by the large wall outdoors,zebras,544786
what is the man catching while doing a high jump in a grassy area,frisbee,384998
what is the person riding a motorcycle wears,suit,112896
what filled with assorted fresh fruits,shelf,358576
what stopped with its doors open,train,302000
what had two very pretty birds on top of it,cake,241617
"what is the woman blowing out ,",candle,469014
what parked next to the walkway in front of a building,motorcycle,420629
what is really big compared to her tiny baby,elephant,65095
what filled with the candle and flowers next to a vase,cage,108045
three asian elephants block what,road,4208
what filled with lots of stuffed animals,oven,177609
the woman is spoon-feeding baby chilled what,fruits,238200
what is an elephant walking in its zoo enclosure gathers,grass,409179
"what stand side by side under the branches of a tree , partially out of the sun",zebras,508151
what packed with stuff and some signs on the side of it,truck,321970
what lay open on the blue colored fabric,scissors,113182
what stick their heads over a fence,giraffes,532966
what stands next to the barren tree,giraffe,223450
what did the close-up of chocolate frost with sprinkles,donuts,14759
what sits with the brownie and cookies on a white plate near a white cup,sandwich,258894
what parked in the parking space next to a red car,motorcycle,24608
the man standing next to a mannequin what,sidewalk,267000
what is on the white table,computer,143392
what decorated in the children 's fish theme,bathroom,65610
the brown table what a window and a television set,chairs,398962
what is looking directly at the camera with a man on the computer in the background,cat,69003
what does the man throw in to the dark,frisbees,184536
"what dressed in motorcycle gear , atop of a motorcycle",dog,85036
what are there being flown in a field near the water,kites,99751
what topped with three of the same type of donuts,plate,357169
what travels around the bend of track,train,303252
what is standing on the grass,zebra,574696
what a sandwich and another piece of food,coffee,316061
what is there turning a corner on the street,bus,444691
what is displayed with another connecting via a network,laptop,290774
what next to a horse in a field,horse,439874
"what is feeding her baby in a field ,",horse,86094
"what sit on the breakfast table , near a window",dishes,93875
what is buried in the large amount of snow,bench,552330
what are set up near the ocean,umbrellas,335415
what is sitting next to two wooden benches,booth,557848
what mounted on the side of a wall,urinal,524820
what filled with toppings at a sports game,dog,339639
what on the floor . some have tags in their ears,cows,25625
what train traveling through the lush green countryside,cargo,403332
what does the priest in a robe stick into a cake,knife,444315
what rests on the perch outside of a window,seagull,398757
what a tooth brush and razor,mirror,254100
what is sitting in a glass vase,flower,110567
what did the small kitchen have,floor,325758
what does the man cut and filets,fish,545251
what is shown with two computers on top of it,desk,97844
what does the woman standing on a beach throw,frisbee,207363
the horse drawn what travels down the street of a modern city,carriage,418085
what line up at the stop to discharge and take on passengers,buses,107357
what arrived to help the people at the scene,trucks,185555
what is there moored in the water at a dock,boat,40143
what are laying on a lawn near a sidewalk,boards,319406
what topped with fruit next to a glass of oj,plate,286914
what frosted cake that looks like a monster is on a square on the table,chocolate,157825
the sleeping black and white dog wearing what,hat,352831
what are suspended on the group of four forks in an exhibit,bananas,131565
what do two men hold while playing a video game,remotes,492219
what is the toy animal wearing,hat,473779
what stand on and near the railroad tracks,sheep,430495
what are two men and a woman riding,elephant,440546
what displays the messy assortment of non matching glasses,cabinet,352841
what is flying in blue skies,airplane,561524
what set up with labels describing each part,computer,391175
what is sitting on the plate with some greens and some kind of yellow sauce,sandwich,178131
what is cruise in the harbor of the busy city,ship,124028
the man is holding two fruit baskets and is getting what put on him,hat,542832
what is pain stakingly prepared perfectly,cake,203707
the young person and an older person holding what,kite,457800
what did the multi tiered,cake,94096
what filled with furniture and a small wooden table,room,109836
the man riding what on a snow covered summit holding ski poles,skis,366598
"the street in the center of which is a statue of god , behind it is what",clock,186113
the man wearing what sits atop a large elephant,hat,28097
what in which are hung white towels and a white bathrobe,bathroom,404101
what sits on the green cup,toothbrush,297829
what parked side by side next to a building,buses,506062
what is not common in the western world,device,318385
what is the man in red holding,bat,260630
the black trains engine pulling what,cars,495258
what is on top of some clear drawers on a table,computer,442400
what are the man and small child flying,kite,253125
what close up and others eating in the background,cow,340157
what topped with the submarine sandwich next to bottled of alcohol,plate,139865
what three zebras and two giraffes,zoo,304158
what is wearing a bunny hat is relaxing on a blanket,cat,429460
what is standing up with its legs crossed,giraffe,289242
what next to a smaller giraffe,giraffe,177109
the boy faces the ocean holding what,surfboard,170080
what is the boy playing baseball pitching,ball,79503
what is standing on the brown dirt,giraffe,524049
what filled with soup on top of a green plate,bowl,462968
what eating an apple on a tree branch,bird,510644
what is open to expose black and white tiling,door,114678
the black couch what a rug and some pillows,cabinet,394598
what is on the ground near a ground crew,airplane,521471
what is walking across a snow covered ground,zebra,506799
what is the biplane flying over a forest covered,hillside,527637
what did two stuff around a table with a bottle of alcohol and two shot glasses,bears,539216
what is being offered water from a person holding a small cup,bird,162880
what is next to the pond with green grass all around,bench,33383
two boys feeding what stems from trees,giraffe,97729
what pale with an assortment of food,breakfast,411261
what is traveling down a graffiti covered wall,engine,319952
what lays open and a brown and white cat is inside as a black cat is on the door,door,409489
what topped with pillows next to a lamp,couch,540321
what is leading up to the bathroom building,ramp,408835
what is driving through the desert,bus,109097
what is the woman reading a newspaper is holding,umbrella,260381
what sits on the desk beside a desktop computer,computer,504030
what are men enjoying a freshly made in a restaurant,pizza,363719
what parked in front of a brick building,bicycle,477295
what is near the pen with the horse,bicycle,491272
what topped with monitors and a laptop computer,desk,78085
what stopped at an intersection with a stop sign,car,339844
"what numbered 9one , two , three and seven",airplanes,246982
what is eating the bird on the ground,cat,491113
what is standing on the towel outside,bird,110045
what parked on an airport tarmac,airliner,66014
what is being towed by the large truck,car,431363
what glide through the sky for people to view,kites,550761
"what did one homemade fry cake , one chocolate donut and one old fashioned glaze served on plates",donut,254032
what filled with the blue bowl with soggy bread,sink,487225
what is in the tubular vase,flower,130880
"what are being flown in the sky , near a tree",kites,278799
what are on display near fruit in a market,bananas,105768
what is standing on some bananas,bird,500092
what drawn carriage stopped near the water,horse,476385
what parked next to other motorcycles,motorcycle,454745
what cut into slices on a baking rack,apples,572183
"the baseball player hitting what , it looks like a statue",ball,441850
what graze on grass in a field,horses,106895
what next to darkened display with telltale blue,keyboard,451213
what topped with donuts and a caramel glaze,plate,481841
what parked near it 's hanger outside,airplane,526506
what eats from the cereal bowl at the table,bird,388905
what stands on the tree branch,bird,316612
what are sitting on the shore,boats,425772
what gather around the large container in an enclosed area of pasture,cattle,217515
what is parked on the rural road,vehicle,222191
what is sitting in their pen and trees,giraffe,333048
what reaches down to graze some grass growing on the side of a road,sheep,514204
what does the girl wear while white water rafting with paddles,jacket,126947
what parked in the fire station,truck,412525
what is displayed on the top of a building,airplane,75898
what is the man feeding,giraffe,279012
what parked side by side on a green grass covered park,trucks,401235
what is peeking out the partially open window,bull,358222
what is traveling down a nearly empty street,car,551571
what train going down the track close to other trains,cargo,251026
what docked on land by the water,boat,336081
what is the truck pulling down the road,truck,396536
what is pulling a trolley pauses in front of a castle at disneyland,horse,160325
what is the woman playing tennis serving,ball,571158
what is on the street driving past a building,bus,540848
what heads together looking out the window,cats,106750
what are standing on the green field,giraffes,93922
what sits on the table in a living room,cat,357881
what runs fast around the circular enclosure,zebras,380885
what sits on foil with ketchup,dog,21246
what next to an adult giraffe,giraffe,536579
what is sitting next to a tree,building,59718
the bus traveling down what next to a tree filed park,road,376196
what is decorated in an elaborate style,horse,479550
what is seen in this picture,knife,569656
what is dimly lit with soft lighting,room,55226
the woman in a white dress and hat holding what,racquet,62420
what did the metallic wall mount in a kitchen,oven,256921
what did the krispee cream glaze sitting next to a box,donut,103566
what are driving down the river between other docked boats,boats,515758
what are being peeled and sliced with the knife,oranges,319650
what is sitting in front of a hotel,bench,120385
what sits in the middle of a grassy field with trees and clouds in the background,barn,13671
what are some people at the beach flying,kites,499784
"what crosses the river , and a park bench sits near by",bridge,273174
the galley bathroom with a vanity what,toilet,36996
what do the very nice and large modern style rest,room,16251
what are being sold by a vendor at an outside food market,vegetables,80585
what is the boy holding while looking in a toilet,toy,282566
what do the bull and two calves block from going down a road,vehicle,237000
