question,answer,id
how many giraffes walking near a hut in an enclosure,two,171768
how many elephants walking in a grassy area with trees and rocks,three,480687
how many light brown teddy bear in between an iron door,one,110776
how many giraffes is eating leaves hung up in an open area,four,57866
how many oranges have funny faces drawn on them,five,576695
how many children fight for control of the ball in a soccer match,two,346712
how many people on the snow one is laying on his back,two,69197
how many airplanes leaving trails in the sky above power lines,four,548273
how many people on a grassy field with a kite,four,553894
how many people is skiing on a snow covered hill,five,407092
how many zebras are there that are walking together in the dirt,two,327881
how many plastic trays do the each have different foods in them,four,563601
how many white birds is flying around a grassy spot,three,456589
how many pieces of broccoli is sitting next to a cranberry desert,three,529511
how many people are standing in some water two are holding surfboards,four,286925
how many people in a a small boat drift lazily on a clear calm sea,four,576733
"how many boy pitching , one boy on base on a baseball field",one,578567
how many clocks all with different times above double doors,four,501648
how many small children one has the purple umbrella and the other an orange and black one,two,452619
how many elephants walk along the path next to water,two,353175
how many slice is there of pizza left in the box,one,222664
how many boys is sitting down with their apple laptops in their laps,four,77481
how many way stop sign on the corner of lindley ave,four,339421
how many people is posing for a picture inside of a grocery store,three,341087
how many people walk on the beach near waves coming toward the ocean,two,364582
"how many people on a bench , one of whom has an umbrella",two,381305
how many restaurant workers are preparing meals in a kitchen,four,246298
how many people is walking towards the water carrying surfboards,two,536641
how many people is waiting for a ski lift up a mountain,four,415027
how many hands is holding a very big doughnut with pink icing,two,117884
how many people is riding a motorcycle down a street with an umbrella attached to it,two,302397
how many topless women is holding some sub sandwiches with them,two,411517
how many women are ridng together on their horses,four,530629
how many polar bears on rocks near a body of water,two,538737
how many women drink red wine at a table near a fireplace decorated with delft blue and white tiles,two,23258
how many people seem to be playing the nintendo wii on a large screen,four,156594
how many surfboards of various lengths resting in a rack,seven,526697
how many sheep grazing in the grass on a farm,three,555520
how many women are trying to sailboard on the water,two,210537
how many way sign on light pole onto bush from obama,one,374453
how many bananas are hanging from the wooden stand,three,504554
how many friends is playing a wii motion controlled video game,four,443673
how many containers are there with different types of food,three,38046
how many people with surf boards is looking at the water,three,371651
how many boys playing baseball on a field with fences around it,three,410981
"how many booths for distributing print media , standing next to a hydrant",three,521739
"how many fluffy white dogs on the side of the road , one with a leash attached",two,223203
how many fighter jets fly close together in formation,four,510418
how many men are repairing the broken plane outside,three,517430
how many traffic signs are all attached to the same sign post,five,433616
how many men are riding on top of an elephant,two,101094
how many way '' sign is posted on top of a `` stop '' sign,one,43464
how many zebra graze in the field of grass,three,197891
how many different clocks on a wall with different time zones,three,7504
how many sign sign posted above the red stop sign,one,485550
how many women are playing on laptops near a box of donuts,two,211850
how many yak-11 stunt planes show off at an air show,three,60953
how many elephants are grazing in the lush green pasture under darkened clouds,three,84495
how many young men is walking down a sidewalk holding a baseball bat,two,72969
how many older type amtrak cars is sitting on tracks,two,515590
how many giraffes are standing next to the tree,three,282987
how many bottles of baby formula is sitting on the counter,five,81042
how many sheep does the man herd using two dogs,nine,558194
how many zebras are bent over and grazing on the grass,six,567186
how many different pictures of a woman with a cellphone,two,519211
how many children at a table eating and drinking water,three,344632
how many man is leaning on the parking meter talking to another man,one,28889
how many giraffes are in the grassy field . one is standing tall and one is half bent over and the last one is bent all the way over and is eating grass,three,235840
how many oranges arranged in the circle with a small tomato on top,seven,90985
how many young men is standing together holding a surfboard,three,447084
how many giraffes in grassy area with trees in background,two,542640
how many birds standing on the ground in a field,two,339535
how many skateboarders is doing jumps in a parking garage,three,252010
how many man is cutting another mans hair with scissors,one,452250
how many men standing outside a parked eighteen wheeler truck,three,562677
how many horse is laying down while two others are standing in a field,one,468193
how many young adults sit around the table playing cards,five,24436
how many boys in a little league team is posing for a picture,three,84114
how many people are there on the beach surfing,two,119139
how many kites fly high in the blue sky,six,157815
how many decorated cakes are on the white table,five,493732
how many zebras is standing together eating grass in a field,two,508710
how many plates of pizza lined up in a row,four,510564
how many men in grassy field is playing with a frisbee,two,426877
how many children are laying in their bunk beds,two,194685
how many boys playing baseball on a field during the day,two,462132
how many vases with flowers on a table,three,100626
how many kids is making faces in a bathroom mirror in front of sinks,two,155519
how many giraffes standing in the dirt in a fenced in area,three,144
how many girls are spinning around with baseball bats,two,163326
"the group of teenagers are in a classroom playing video games , while how many boy has his arms in the air",one,410409
how many giraffes stand in the circle around a small green tree,five,237443
how many planes parked at an airport terminal,two,155751
how many zebras that are standing in the grass,three,153589
how many people is standing next to a truck talking,three,101140
how many stainless steel fire hydrants are in front of a store front,three,369139
how many birds is flying in a clear sky,three,438091
how many elephants is standing by a man made waterfall,three,330284
how many different elevators next to a large hanging clock,two,271079
how many giraffe are standing in the shade from the tree,three,282987
how many old cutting tools are there on display,four,221400
how many hot dogs have the side of fries and a soda,two,257615
how many yoked horses with red hats that cover their ears,two,281595
how many young people are sitting on the bed with lap tops,four,349932
how many cow standing near rocks lined next to the side of the road,one,404585
how many woman about to hug another on a car transport ferry,one,402987
how many young adults are standing together in the living room playing wii,four,221881
how many dogs is an elderly couple walking on the beach,two,524453
how many speed boats is jumping a wave in the ocean,three,459835
how many post bed decorated with christmas decorations,four,486309
how many white game controllers in mid air next to each other,three,441738
"how many pairs of scissors is hanging on a wall , each opened up a little more than the one next to it",four,388511
how many men is sitting in front of a window back to back,two,246528
how many people is playing a game with a frisbee in a grassy area,four,518265
how many jars full of grain with rotten banana 's hanging over them,seven,480065
how many city banners on the post that are advertisements for `` the art of norman rockwell . '',two,77902
"how many airplanes are standing on the airport , passengers and luggage in cars",three,362130
how many dogs is lying on a bed in a room,two,422152
how many captive elephants is performing in a circus ring,three,258690
the white cow how many brown cows along a beach,six,113949
how many hour limit do the parking meters have,three,223650
