question,answer,id
what is the color of the character,purple,220218
what is the color of the dog,black,491525
what is the color of the sign,red,256565
what is the color of the leash,orange,351203
what is the color of the bench,brown,552966
what is the color of the dog,black,273443
what is the color of the carriage,red,275658
what is the color of the bus,yellow,127122
what is the color of the refrigerator,white,475523
what is the color of the cow,black,75065
what is the color of the cat,gray,274537
what is the color of the tennis,black,334283
what is the color of the hair,red,133937
what is the color of the umbrella,blue,559267
what is the color of the counter,brown,439445
what is the color of the helmet,red,69081
what is the color of the jacket,gray,375080
what is the color of the airplane,white,242039
what is the color of the towel,blue,299811
what is the color of the train,red,447524
what is the color of the bridge,white,95390
what is the color of the train,white,124764
what is the color of the sky,blue,458374
what is the color of the car,green,95592
what is the color of the raincoat,red,274116
what is the color of the plane,gray,168178
what is the color of the motorcycle,red,449889
what is the color of the sky,gray,5500
what is the color of the frisbee,yellow,378049
what is the color of the bat,orange,402844
what is the color of the cat,gray,94499
what is the color of the bear,brown,222122
what is the color of the vase,brown,128670
what is the color of the fire,red,254714
what is the color of the flowers,purple,70251
what is the color of the waiting,white,258792
what is the color of the cat,brown,128405
what is the color of the suit,blue,178421
what is the color of the sky,red,219327
what is the color of the frisbee,yellow,564483
what is the color of the sky,blue,93667
what is the color of the shirt,blue,514567
what is the color of the light,red,110634
what is the color of the uniform,red,314398
what is the color of the leaves,green,225663
what is the color of the wall,white,432460
what is the color of the shirt,white,505627
what is the color of the bus,yellow,166503
what is the color of the hair,white,199469
what is the color of the lake,blue,350361
what is the color of the korean,blue,283426
what is the color of the bench,blue,517931
what is the color of the horse,brown,305661
what is the color of the umbrella,purple,310878
what is the color of the plate,brown,158831
what is the color of the bird,green,19151
what is the color of the man,black,152746
what is the color of the hillside,green,267256
what is the color of the carpet,brown,541067
what is the color of the truck,green,83190
what is the color of the kite,yellow,346576
what is the color of the cow,brown,176435
what is the color of the jacket,red,150462
what is the color of the cat,orange,523749
what is the color of the liner,brown,500677
what is the color of the sky,gray,224592
what is the color of the flower,red,442060
what is the color of the toilet,white,502364
what is the color of the cows,brown,173760
what is the color of the laptop,orange,184589
what is the color of the couch,yellow,146620
what is the color of the suit,brown,100668
what is the color of the pedestal,white,436990
what is the color of the juice,orange,41818
what is the color of the bear,brown,274184
what is the color of the suitcase,red,402219
what is the color of the bus,red,98210
what is the color of the light,green,411792
what is the color of the fire,black,398177
what is the color of the frisbee,white,43206
what is the color of the suit,orange,24032
what is the color of the linens,white,438060
what is the color of the bear,white,204458
what is the color of the cat,gray,278776
what is the color of the bird,white,15016
what is the color of the sheets,white,426077
what is the color of the wall,red,579224
what is the color of the disc,green,103539
what is the color of the dress,black,61966
what is the color of the pants,yellow,361030
what is the color of the grass,green,236580
what is the color of the bicycle,blue,520750
what is the color of the field,green,130188
what is the color of the bears,orange,276218
what is the color of the sky,blue,532155
what is the color of the plane,white,81855
what is the color of the kitten,black,26733
what is the color of the sky,blue,292973
what is the color of the grass,green,154770
what is the color of the bus,purple,524679
what is the color of the cones,orange,218649
what is the color of the canoes,blue,193629
what is the color of the polka,brown,168480
what is the color of the bear,black,270558
what is the color of the train,orange,536109
